emotion,video_link
Fear,https://www.youtube.com/watch?v=LuJqISzU4hs
Fear,https://www.youtube.com/watch?v=-yJHCuEhG5c
Fear,https://www.youtube.com/watch?v=00S6BlhOh64
Fear,https://www.youtube.com/watch?v=AY0RpO-rBHM
Fear,https://www.youtube.com/watch?v=xKABVd-_TxY
Fear,https://www.youtube.com/watch?v=L942OItZ_gg
Fear,https://www.youtube.com/watch?v=42MPFchb5pA
Fear,https://www.youtube.com/watch?v=H5zFGi9puZM
Fear,https://www.youtube.com/watch?v=nSQY3fXM0GQ
Fear,https://www.youtube.com/watch?v=oPvF_8HRUdA
Fear,https://www.youtube.com/watch?v=nWT57O-5SWE
Fear,https://www.youtube.com/watch?v=wyYyoY4CzQI
Fear,https://www.youtube.com/watch?v=EYm4vQ7fA1I
Fear,https://www.youtube.com/watch?v=o_dza45RWrg
Fear,https://www.youtube.com/watch?v=8HVcSPAWBrI
Fear,https://www.youtube.com/watch?v=HGiAKiz76YI
Fear,https://www.youtube.com/watch?v=BLWuNNRGL0Y
Fear,https://www.youtube.com/watch?v=9rhM9n5XT7k
Fear,https://www.youtube.com/watch?v=bhoWPek36iM
Fear,https://www.youtube.com/watch?v=wCS5aH8iDQs
Fear,https://www.youtube.com/watch?v=-q9NO-dzW2E
Fear,https://www.youtube.com/watch?v=qfdBKR1fj4A
Fear,https://www.youtube.com/watch?v=gBad0XNmGYg
Fear,https://www.youtube.com/watch?v=WXsScSi3pQ0
Fear,https://www.youtube.com/watch?v=Drh_RYnVCMk
Fear,https://www.youtube.com/watch?v=G9W_FAouGRA
Fear,https://www.youtube.com/watch?v=Xos_G3VFKHU
Fear,https://www.youtube.com/watch?v=OWz-Ns5pPvc
Fear,https://www.youtube.com/watch?v=RGPmxpVhujE
Fear,https://www.youtube.com/watch?v=wL5PTIIX1Gc
Fear,https://www.youtube.com/watch?v=g_yYvoFB7Wg
Fear,https://www.youtube.com/watch?v=cS4ewc0dK20
Fear,https://www.youtube.com/watch?v=JZ8uBs4jybE
Fear,https://www.youtube.com/watch?v=j1G_2w2p_JU
Fear,https://www.youtube.com/watch?v=by5YJy6mEP0
Fear,https://www.youtube.com/watch?v=cC3_HE7XaEc
Fear,https://www.youtube.com/watch?v=NKhJyyWgXGw
